Invoice ID,Customer Name,Invoice Date,Due Date,Amount,Region
INV-11324,Pinnacle Manufacturing,2025-04-03,2025-05-03,2293.54,LATAM
INV-10799 ,Anchor Industries,2025-06-13,2025-07-13,1518.51,APAC
INV-10480,Cedar Solutions,2025-09-16,2025-10-16,4054.64,APAC
INV-10045,Northgate Partners,2025-05-09,2025-05-24,391.24,LATAM
INV-10415,Pinnacle Logistics,2025-11-05,2026-01-04,1996.36,EMEA
INV-11406,Atlas Logistics,2025-05-05,2025-05-20,749.11,LATAM
INV-12978,Crescent Logistics,2025-05-29,2025-06-28,691.12,LATAM
INV-10683,Vantage Partners,2025-03-14,2025-04-13,923.28,APAC
INV-10536,Summit Partners,2025-09-02,2025-10-02,1544.81,North America
INV-10458,Union Industries,2025-09-05,2025-10-05,583.06,APAC
INV-10150,Atlas Partners,2025-04-10,2025-05-10,1933.88,APAC
INV-11386,Granite Consulting,2025-10-26,2025-11-25,1937.91,APAC
INV-10901,Cedar Logistics,2025-08-31,2025-09-15,2062.77,LATAM
INV-12488,Vantage Manufacturing,2025-11-04,2025-12-04,1421.02,North America
INV-11847,Silverline Retail,2025-10-24,2025-11-08,4624.56,EMEA
INV-12460,Redwood Solutions,2025-01-09,2025-03-10,2263.8,North America
INV-10681,Granite Holdings,2025-06-26,2025-07-11,2834.17,North America
INV-11940,Falcon Solutions,2025-08-14,2025-09-13,1616.77,North America
INV-11962,Brightpath Partners,2025-05-08,2025-06-22,1914.09,LATAM
INV-12893,Granite Manufacturing,2025-02-10,2025-03-27,2955.39,LATAM
INV-11357,Crescent Logistics,2025-03-08,2025-04-07,905.4,EMEA
INV-12360,Granite Industries,2025-03-20,2025-04-19,2138.35,EMEA
INV-12441,Cascade Industries,2025-08-19,2025-10-03,7148.27,EMEA
INV-11578,Falcon Supply Co.,2025-10-19,2025-12-18,4222.85,LATAM
INV-12596,Northgate Consulting,2025-03-13,2025-04-12,195.94,North America
INV-11335,Falcon Retail,2025-10-25,2025-12-24,1692.23,EMEA
INV-12259,Crescent Partners,2025-09-11,2025-10-11,150.0,EMEA
INV-10332,Meridian Industries,2025-09-29,2025-11-13,660.15,APAC
