Payment ID,Invoice ID,Payment Date,Amount Paid,Payment Method
PAY-53205,INV-12896,2025-08-25,18000.0,ACH
PAY-50950,INV-10867,2025-12-03,531.22,Credit Card
PAY-52459,INV-12199,11/04/2025,295.1,ACH
PAY-50140,INV-10131,2025-08-19,93.94,Check
PAY-50300,INV-10282,2025-03-19,1365.93,Check
PAY-50315,INV-10297,2025-12-11,3326.38,Credit Card
PAY-50863,INV-10787,2025-04-09,872.86,Bank Transfer
PAY-50071,INV-10069,2025-02-13,2049.75,ACH
PAY-50803,INV-10738,02/10/2025,3584.67,Credit Card
PAY-51927,INV-11737,2025-12-24,573.46,ACH
PAY-52230,INV-11990,2025-07-05,714.19,Bank Transfer
PAY-51105,INV-11013,2025-05-06,3908.02,Credit Card
PAY-52878,INV-12586,2025-07-10,25.62,ACH
PAY-52589,INV-12320,03/03/2025,549.97,Credit Card
PAY-52109,INV-11891,2025-04-20,852.76,Bank Transfer
PAY-51961,INV-11766,02/15/2025,133.32,ACH
PAY-50555,INV-10501,2026-02-18,608.46,Bank Transfer
PAY-51438,INV-11307,2025-08-08,934.41,ACH
PAY-52635,INV-12365,2025-08-25,840.22,Credit Card
PAY-50316,INV-10298,2026-01-13,1951.92,Check
PAY-50810,INV-10746,2025-04-19,206.11,Credit Card
PAY-50145,INV-10136,2025-06-02,5972.62,Credit Card
PAY-50735,INV-10673,2026-01-03,88.26,Bank Transfer
PAY-52485,INV-12224,2025-07-06,1257.52,Credit Card
PAY-51004,INV-10913,2025-03-31,1852.79,Bank Transfer
PAY-50603,INV-10550,2025-12-12,859.55,Bank Transfer
PAY-51953,INV-11760,2025-04-02,4833.97,Bank Transfer
PAY-51221,INV-11120,2025-07-08,624.78,ACH
PAY-52972,INV-12673,2025-10-23,184.07,ACH
PAY-52994,INV-12692,2025-11-26,1188.36,Check
PAY-50928,INV-10844,2025-12-19,1692.01,Credit Card
PAY-51860,INV-11678,2026-01-01,5820.75,Bank Transfer
PAY-52684,INV-12410,2025-09-11,526.66,Credit Card
PAY-52813,INV-12530,2025-03-01,76.36,Credit Card
PAY-50185,INV-10175,2025-09-05,1898.88,ACH
PAY-50411,INV-10379,2025-02-15,10623.49,Credit Card
PAY-52922,INV-12628,2025-03-07,2774.19,Check
PAY-51589,INV-11435,2025-03-23,297.38,Check
PAY-50565,INV-10511,2025-02-04,1888.26,Credit Card
PAY-51851,INV-11673,2025-10-22,1040.46,Bank Transfer
PAY-53048,INV-12753,2025-11-27,240.98,ACH
PAY-52324,INV-12079,2025-04-17,1305.7,ACH
PAY-52988,INV-12687,2026-01-09,2258.24,Bank Transfer
PAY-51018,INV-10927,09/30/2025,432.31,Credit Card
PAY-50568,INV-10514,2025-12-10,654.06,Bank Transfer
PAY-52316,INV-12071,2026-01-24,953.56,Bank Transfer
PAY-53104,INV-12805,2025-08-02,1358.43,Bank Transfer
PAY-51682,INV-11522,2025-03-06,401.83,ACH
PAY-53077,INV-12776,2025-03-16,1145.52,ACH
PAY-50052,INV-10051,2025-08-14,1981.63,Bank Transfer
PAY-52860,INV-12569,2025-03-17,915.76,Check
PAY-51379,INV-11251,2025-03-03,1993.79,ACH
PAY-52127,INV-11907,2025-12-24,184.82,ACH
PAY-51743,INV-11582,2025-01-31,4162.09,Credit Card
PAY-52856,INV-12566,2025-07-04,1025.27,Check
PAY-50053,INV-10053,01/06/2026,199.57,Credit Card
PAY-53161,INV-12860,2026-01-19,1762.87,Bank Transfer
